latitude,longitude,Emmisions
34.196398,-118.261862,GHG emissions mtons CO2e
37.209821,-119.749802,GHG emissions mtons CO2e
38.051817,-122.745974,GHG emissions mtons CO2e
37.570033,-119.91286,GHG emissions mtons CO2e
39.432388,-123.442881,GHG emissions mtons CO2e
37.194806,-120.722802,GHG emissions mtons CO2e
41.592918,-120.71837,GHG emissions mtons CO2e
37.915836,-118.875167,GHG emissions mtons CO2e
36.240107,-121.315572,GHG emissions mtons CO2e
38.5071,-122.325904,GHG emissions mtons CO2e
39.297508,-120.771343,GHG emissions mtons CO2e
33.675687,-117.777207,GHG emissions mtons CO2e
39.062032,-120.722718,GHG emissions mtons CO2e
39.992295,-120.824371,GHG emissions mtons CO2e
33.729828,-116.002239,GHG emissions mtons CO2e
38.450011,-121.340441,GHG emissions mtons CO2e
36.610702,-121.085296,GHG emissions mtons CO2e
34.85722,-116.181197,GHG emissions mtons CO2e
33.023604,-116.776117,GHG emissions mtons CO2e
37.727239,-123.032229,GHG emissions mtons CO2e
37.934982,-121.272244,GHG emissions mtons CO2e
35.385224,-120.447544,GHG emissions mtons CO2e
37.414663,-122.371545,GHG emissions mtons CO2e
34.537057,-120.039973,GHG emissions mtons CO2e
37.220777,-121.690622,GHG emissions mtons CO2e
37.012488,-122.007205,GHG emissions mtons CO2e
40.760514,-122.043556,GHG emissions mtons CO2e
39.576925,-120.521993,GHG emissions mtons CO2e
41.587986,-122.533287,GHG emissions mtons CO2e
38.267226,-121.939594,GHG emissions mtons CO2e
38.525182,-122.92611,GHG emissions mtons CO2e
37.562316,-121.002831,GHG emissions mtons CO2e
39.03619,-121.70394,GHG emissions mtons CO2e
40.126156,-122.232276,GHG emissions mtons CO2e
40.647724,-123.114404,GHG emissions mtons CO2e
36.228824,-118.781061,GHG emissions mtons CO2e
38.021434,-119.964733,GHG emissions mtons CO2e
34.358741,-119.133143,GHG emissions mtons CO2e
38.679595,-121.902441,GHG emissions mtons CO2e
39.266247,-121.340781,GHG emissions mtons CO2e
39.874325,-104.331872,GHG emissions mtons CO2e
37.568442,-105.788041,GHG emissions mtons CO2e
39.644554,-104.331706,GHG emissions mtons CO2e
