county_state_name,population,Emissions_per_person
"Jefferson Davis County, MS",11771,3.4019199728145444
"Bradley County, TN",102860,3.4013805172078553
"Hickman County, KY",4691,3.4009806011511405
"Franklin County, TN",41348,3.399414723807681
"Major County, OK",7721,3.398523507317705
"Cheatham County, TN",39575,3.3958054327226783
"Wilson County, TN",125616,3.39324608330149
"Henry County, TN",32291,3.39088290855037
"Morgan County, AL",119555,3.3893187236000166
"Houston County, TN",8234,3.3889968423609425
"Dyer County, TN",37970,3.387305767711351
"Campbell County, WY",48473,3.3862150062921628
"Audubon County, IA",5793,3.3861557051614017
"Seminole County, GA",8696,3.3853495860165594
"Madison County, AL",349973,3.3845153769005036
"Phelps County, NE",9236,3.3842572542226073
"Lincoln County, KY",24424,3.38294300687848
"Platte County, MO",94970,3.3825418553227333
"Washington County, VA",54562,3.382500641472087
"Kingsbury County, SD",5070,3.3816568047337277
"Moniteau County, MO",15840,3.377209595959596
"Frontier County, NE",2599,3.376683339746056
"Pike County, IL",16054,3.3761056434533447
"Ellis County, OK",4123,3.373999514916323
"Grainger County, TN",22813,3.3733397624161663
"Grady County, OK",53955,3.3726809378185525
"Lafayette County, MO",32789,3.3718320168349143
"Sabine Parish, LA",24144,3.3685801855533466
"Aurora County, SD",2732,3.3667642752562226
"Yalobusha County, MS",12380,3.3640549273021003
"Winston County, AL",24013,3.363761295964686
"Blackford County, IN",12364,3.363717243610482
"Garfield County, NE",1968,3.3633130081300813
"Giles County, VA",16871,3.3629897457175035
"Brown County, OH",44059,3.3622869334301733
"Morgan County, WV",17514,3.360283202009821
"Tazewell County, VA",43367,3.3542094219106695
"Nowata County, OK",10510,3.354138915318744
"Scott County, IN",23734,3.3509732872672116
"Nelson County, KY",44875,3.3507966573816157
"Marshall County, KY",31213,3.3505270239964116
"McCurtain County, OK",33071,3.350216201505851
"Smith County, TN",19176,3.3495515227367543
"Amherst County, VA",31999,3.3464795774867966
"Greene County, IL",13390,3.3462285287528006
"Union County, SD",14842,3.345438620132058
"Robertson County, TN",67905,3.3451586775642443
"Randolph County, IL",32934,3.3444768324527843
"Effingham County, IL",34356,3.3438409593666316
"Kingfisher County, OK",15392,3.343035343035343
"Lincoln County, TN",33582,3.342921803347031
"Dickenson County, VA",15304,3.342524830109775
"Raleigh County, WV",78051,3.341353730253296
"Sullivan County, MO",6416,3.340866583541147
"Monroe County, TN",45482,3.337210324963722
"De Witt County, IL",16322,3.3369685087611813
"Maury County, TN",85767,3.33692445812492
"Jackson County, KY",13357,3.3349554540690276
"Hart County, KY",18510,3.3349000540248515
"Mayes County, OK",40923,3.3330645358355935
"Grand Forks County, ND",69793,3.332984683277693
"McLean County, KY",9492,3.3328065739570163
"Randolph County, IN",25403,3.3321654922646933
"Tripp County, SD",5475,3.332054794520548
"Calcasieu Parish, LA",197233,3.3319424234281283
"St. Mary Parish, LA",53053,3.331913369649219
"Rapides Parish, LA",132373,3.3318652595317775
"Marshall County, TN",31335,3.3313228019786183
"Rhea County, TN",32461,3.3305197005637535
"Bell County, KY",27676,3.329671917907212
"Quitman County, GA",2095,3.3293556085918854
"Gibson County, IN",33684,3.3291176819855126
"Madison County, TN",98128,3.326930132072395
"Coal County, OK",5755,3.3258036490008687
"Vermillion County, IN",15752,3.3257998984255965
"Gosper County, NE",1977,3.3257460799190692
"Cass County, TX",30346,3.3254135635668622
"Billings County, ND",936,3.323717948717949
"Pickett County, TN",5096,3.322802197802198
"Foster County, ND",3345,3.321375186846039
"Cumberland County, IL",10890,3.3212121212121213
"Grant County, SD",7195,3.3200833912439194
"Fall River County, SD",6874,3.319173697992435
"Hardin County, IL",4173,3.316558830577522
"Howard County, MO",10148,3.3163184864012614
"Miner County, SD",2299,3.3157894736842106
"Roane County, TN",52983,3.3136666477926884
"Martin County, MN",20193,3.3131778339028375
"Hancock County, IL",18633,3.3118123758922344
"Hitchcock County, NE",2866,3.3115840893230986
"Elk County, KS",2635,3.31157495256167
"Washington County, TN",126044,3.311161181809527
"Coffey County, KS",8433,3.310209889718961
"Scott County, VA",22378,3.309991956385736
"Polk County, NE",5242,3.3096146508966044
"Murray County, OK",13792,3.3095272621809744
"St. Charles County, MO",379856,3.3094462111958216
"Atoka County, OK",13847,3.3092366577598034
"Franklin County, TX",10571,3.308012486992716
"Miller County, GA",5911,3.307900524445948
"Monroe County, IA",7964,3.306755399296836
"Walthall County, MS",14812,3.30644072373751
"Gibson County, TN",49511,3.3063561632768477
"Carter County, KY",27292,3.3051077238751283
"Carroll County, MO",9009,3.3036963036963036
"Hamblen County, TN",63203,3.303656472002911
"Pawnee County, NE",2695,3.3035250463821892
"Macon County, NC",33991,3.2996969786119856
"Franklin County, IN",22887,3.2996460872984663
"Morgan County, IL",34801,3.297922473492141
"Blaine County, OK",9777,3.2976373120589137
"Nodaway County, MO",23026,3.297272648310605
"Martinsville city, VA",13551,3.2965832779868642
"Watonwan County, MN",10996,3.2961076755183703
"Richland County, IL",16072,3.296105027376804
"Bedford County, TN",46331,3.294834991690229
"Larue County, KY",14127,3.2941176470588234
"Wayne County, WV",41237,3.293450056987657
"Pittsburg County, OK",44643,3.2928790627869993
"Monroe County, MS",36029,3.292847428460407
"Dawson County, NE",23924,3.29267680989801
"Early County, GA",10480,3.2907442748091604
"Caddo County, OK",29510,3.289020670958997
"Greene County, MO",285449,3.2883737550315466
"McClain County, OK",37222,3.286282306163022
"Marion County, AL",30239,3.2848969873342373
"Lyon County, KY",8325,3.2843243243243245
"Macon County, IL",108404,3.2836795690195935
"Calhoun County, MS",14724,3.2832110839445803
"De Soto Parish, LA",27047,3.281768772876844
"Bristol city, VA",17340,3.2814878892733566
"Johnson County, MO",54229,3.2788176068155415
"Hand County, SD",3311,3.278767743884023
"Crawford County, IL",19441,3.2784836170978857
"Lee County, KY",6896,3.277407192575406
"Putnam County, IL",5746,3.276714235990254
"Crittenden County, KY",9211,3.275431549234611
"Pulaski County, VA",34417,3.2752418862771306
"Lawrence County, MS",12603,3.274696500833135
"Hickman County, TN",24251,3.2729371984660425
"Fleming County, KY",14543,3.272433473148594
"Kanawha County, WV",189636,3.2718629374169463
"Tate County, MS",28338,3.269884960124215
"Breathitt County, KY",13476,3.2698130008904718
"Weakley County, TN",34024,3.269251116858688
"Orange County, IN",19579,3.264722406660197
"Marion County, TN",28363,3.2634770651905654
"Russell County, VA",27973,3.2621456404389946
"Clinton County, IL",37858,3.261846901579587
"Jerauld County, SD",2029,3.261212419911286
"Wythe County, VA",29171,3.2603955983682424
"Carroll County, VA",29733,3.2602495543672014
"Leake County, MS",23011,3.259310764417018
